time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 15:20:05.507716,winner,down,w,[' '],w
2020-06-03 15:20:05.582758,winner,up,w,[' '],w
2020-06-03 15:20:05.652325,winner,down,i,[' '],wi
2020-06-03 15:20:05.713381,winner,up,i,[' '],wi
2020-06-03 15:20:05.832995,winner,down,n,[' '],win
2020-06-03 15:20:05.902057,winner,up,n,[' '],win
2020-06-03 15:20:05.992139,winner,down,n,[' '],winn
2020-06-03 15:20:06.073213,winner,up,n,[' '],winn
2020-06-03 15:20:06.093231,winner,down,e,[' '],winne
2020-06-03 15:20:06.152285,winner,down,r,[' '],winner
2020-06-03 15:20:06.183313,winner,up,e,[' '],winner
2020-06-03 15:20:06.243367,winner,up,r,[' '],winner
2020-06-03 15:20:06.243367,winner,down, ,[' '],winner
2020-06-03 15:20:06.482597,powerful,down,p,[' '],p
2020-06-03 15:20:06.562670,powerful,up,p,[' '],p
2020-06-03 15:20:06.663266,powerful,down,o,[' '],po
2020-06-03 15:20:06.752347,powerful,up,o,[' '],po
2020-06-03 15:20:06.762356,powerful,down,w,[' '],pow
2020-06-03 15:20:06.821915,powerful,up,w,[' '],pow
2020-06-03 15:20:06.962043,powerful,down,e,[' '],powe
2020-06-03 15:20:07.003080,powerful,down,r,[' '],power
2020-06-03 15:20:07.044118,powerful,up,e,[' '],power
2020-06-03 15:20:07.082152,powerful,up,r,[' '],power
2020-06-03 15:20:07.322385,powerful,down,f,[' '],powerf
2020-06-03 15:20:07.393450,powerful,up,f,[' '],powerf
2020-06-03 15:20:07.542103,powerful,down,u,[' '],powerfu
2020-06-03 15:20:07.622681,powerful,down,l,[' '],powerful
2020-06-03 15:20:07.652709,powerful,up,u,[' '],powerful
2020-06-03 15:20:07.732781,powerful,down, ,[' '],powerful
2020-06-03 15:20:07.762808,powerful,up,l,[' '],powerful
2020-06-03 15:20:08.263894,following,down,f,[' '],f
2020-06-03 15:20:08.323948,following,up,f,[' '],f
2020-06-03 15:20:08.332957,following,down,o,[' '],fo
2020-06-03 15:20:08.393012,following,up,o,[' '],fo
2020-06-03 15:20:08.493102,following,down,l,[' '],fol
2020-06-03 15:20:08.552662,following,up,l,[' '],fol
2020-06-03 15:20:08.623231,following,down,l,[' '],foll
2020-06-03 15:20:08.684286,following,up,l,[' '],foll
2020-06-03 15:20:08.784378,following,down,o,[' '],follo
2020-06-03 15:20:08.863955,following,up,o,[' '],follo
2020-06-03 15:20:08.872963,following,down,w,[' '],follow
2020-06-03 15:20:08.934018,following,up,w,[' '],follow
2020-06-03 15:20:09.402458,following,down,i,[' '],followi
2020-06-03 15:20:09.432991,following,down,n,[' '],followin
2020-06-03 15:20:09.474029,following,up,i,[' '],followin
2020-06-03 15:20:09.474029,following,down,g,[' '],following
2020-06-03 15:20:09.534083,following,up,g,[' '],following
2020-06-03 15:20:09.563109,following,up,n,[' '],following
2020-06-03 15:20:09.564110,following,down, ,[' '],following
2020-06-03 15:20:09.725257,mouse,down,m,[' '],m
2020-06-03 15:20:09.802327,mouse,up,m,[' '],m
2020-06-03 15:20:09.912442,mouse,down,o,[' '],mo
2020-06-03 15:20:09.964489,mouse,down,u,[' '],mou
2020-06-03 15:20:10.008529,mouse,up,o,[' '],mou
2020-06-03 15:20:10.043577,mouse,down,s,[' '],mous
2020-06-03 15:20:10.063596,mouse,up,u,[' '],mous
2020-06-03 15:20:10.074606,mouse,down,e,[' '],mouse
2020-06-03 15:20:10.132660,mouse,up,s,[' '],mouse
2020-06-03 15:20:10.183705,mouse,up,e,[' '],mouse
