time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 13:51:51.023705,genetic,down,g,[' '],g
2020-06-03 13:51:51.092768,genetic,down,e,[' '],ge
2020-06-03 13:51:51.122795,genetic,up,g,[' '],ge
2020-06-03 13:51:51.182851,genetic,up,e,[' '],ge
2020-06-03 13:51:51.242904,genetic,down,n,[' '],gen
2020-06-03 13:51:51.323979,genetic,up,n,[' '],gen
2020-06-03 13:51:51.533169,genetic,down,e,[' '],gene
2020-06-03 13:51:51.593224,genetic,up,e,[' '],gene
2020-06-03 13:51:51.683305,genetic,down,t,[' '],genet
2020-06-03 13:51:51.763378,genetic,up,t,[' '],genet
2020-06-03 13:51:52.112719,genetic,down,i,[' '],geneti
2020-06-03 13:51:52.162764,genetic,down,c,[' '],genetic
2020-06-03 13:51:52.182782,genetic,up,i,[' '],genetic
2020-06-03 13:51:52.222819,genetic,up,c,[' '],genetic
2020-06-03 13:51:52.252846,genetic,down, ,[' '],genetic
2020-06-03 13:51:52.972501,communicate,down,c,[' '],c
2020-06-03 13:51:53.052573,communicate,up,c,[' '],c
2020-06-03 13:51:53.063583,communicate,down,o,[' '],co
2020-06-03 13:51:53.132646,communicate,up,o,[' '],co
2020-06-03 13:51:53.282783,communicate,down,m,[' '],com
2020-06-03 13:51:53.303802,communicate,up,m,[' '],com
2020-06-03 13:51:53.392883,communicate,down,m,[' '],comm
2020-06-03 13:51:53.452937,communicate,up,m,[' '],comm
2020-06-03 13:51:53.643110,communicate,down,u,[' '],commu
2020-06-03 13:51:53.703165,communicate,up,u,[' '],commu
2020-06-03 13:51:53.823275,communicate,down,n,[' '],commun
2020-06-03 13:51:53.894339,communicate,up,n,[' '],commun
2020-06-03 13:51:54.153575,communicate,down,i,[' '],communi
2020-06-03 13:51:54.213630,communicate,up,i,[' '],communi
2020-06-03 13:51:54.493391,communicate,down,c,[' '],communic
2020-06-03 13:51:54.565457,communicate,down,a,[' '],communica
2020-06-03 13:51:54.582472,communicate,up,c,[' '],communica
2020-06-03 13:51:54.692573,communicate,up,a,[' '],communica
2020-06-03 13:51:54.792663,communicate,down,t,[' '],communicat
2020-06-03 13:51:54.842708,communicate,down,e,[' '],communicate
2020-06-03 13:51:54.873737,communicate,up,t,[' '],communicate
2020-06-03 13:51:54.933791,communicate,up,e,[' '],communicate
2020-06-03 13:51:55.042890,communicate,down, ,[' '],communicate
