time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:14:27.337891,engineering,down,a,[' '],a
2020-06-03 14:14:27.366917,engineering,down,s,[' '],as
2020-06-03 14:14:27.397945,engineering,down,d,[' '],asd
2020-06-03 14:14:27.456999,engineering,up,a,[' '],asd
2020-06-03 14:14:27.467008,engineering,up,s,[' '],asd
2020-06-03 14:14:27.529064,engineering,up,d,[' '],asd
2020-06-03 14:14:27.717236,engineering,down, ,[' '],asd
2020-06-03 14:14:28.736291,assure,down,a,[' '],a
2020-06-03 14:14:28.758311,assure,down,s,[' '],as
2020-06-03 14:14:28.788338,assure,down,d,[' '],asd
2020-06-03 14:14:28.858402,assure,up,a,[' '],asd
2020-06-03 14:14:28.878421,assure,up,s,[' '],asd
2020-06-03 14:14:28.946498,assure,up,d,[' '],asd
2020-06-03 14:14:29.117158,assure,down, ,[' '],asd
2020-06-03 14:14:29.480508,innocent,down,a,[' '],a
2020-06-03 14:14:29.519050,innocent,down,s,[' '],as
2020-06-03 14:14:29.567093,innocent,down,d,[' '],asd
2020-06-03 14:14:29.607130,innocent,up,a,[' '],asd
2020-06-03 14:14:29.631152,innocent,up,s,[' '],asd
2020-06-03 14:14:29.708222,innocent,up,d,[' '],asd
2020-06-03 14:14:29.757280,innocent,down, ,[' '],asd
2020-06-03 14:14:30.282286,until,down,a,[' '],a
2020-06-03 14:14:30.318081,until,down,s,[' '],as
2020-06-03 14:14:30.376877,until,down,d,[' '],asd
2020-06-03 14:14:30.416913,until,up,a,[' '],asd
2020-06-03 14:14:30.448942,until,up,s,[' '],asd
2020-06-03 14:14:30.506995,until,up,d,[' '],asd
2020-06-03 14:14:30.597077,until,down, ,[' '],asd
2020-06-03 14:14:30.982932,president,down,a,[' '],a
2020-06-03 14:14:31.006954,president,down,s,[' '],as
2020-06-03 14:14:31.078019,president,down,d,[' '],asd
2020-06-03 14:14:31.133077,president,up,a,[' '],asd
2020-06-03 14:14:31.176116,president,up,s,[' '],asd
2020-06-03 14:14:31.237172,president,up,d,[' '],asd
2020-06-03 14:14:31.332258,president,down, ,[' '],asd
2020-06-03 14:14:31.659583,mechanism,down,a,[' '],a
2020-06-03 14:14:31.719653,mechanism,down,s,[' '],as
2020-06-03 14:14:31.776210,mechanism,down,d,[' '],asd
2020-06-03 14:14:31.859285,mechanism,up,a,[' '],asd
2020-06-03 14:14:31.876301,mechanism,up,s,[' '],asd
2020-06-03 14:14:31.936355,mechanism,up,d,[' '],asd
2020-06-03 14:14:31.987455,mechanism,down, ,[' '],asd
2020-06-03 14:14:32.928293,poet,down,a,[' '],a
2020-06-03 14:14:32.967328,poet,down,s,[' '],as
2020-06-03 14:14:32.999358,poet,down,d,[' '],asd
2020-06-03 14:14:33.079430,poet,up,a,[' '],asd
2020-06-03 14:14:33.107469,poet,up,s,[' '],asd
2020-06-03 14:14:33.156540,poet,up,d,[' '],asd
2020-06-03 14:14:33.188575,poet,down, ,[' '],asd
2020-06-03 14:14:33.738140,ring,down,a,[' '],a
2020-06-03 14:14:33.760152,ring,down,s,[' '],as
2020-06-03 14:14:33.790180,ring,down,d,[' '],asd
2020-06-03 14:14:33.868512,ring,up,a,[' '],asd
2020-06-03 14:14:33.880262,ring,up,s,[' '],asd
2020-06-03 14:14:33.947322,ring,up,d,[' '],asd
2020-06-03 14:14:34.009379,ring,down, ,[' '],asd
2020-06-03 14:14:34.230639,campaign,down,a,[' '],a
2020-06-03 14:14:34.269675,campaign,down,s,[' '],as
2020-06-03 14:14:34.321227,campaign,down,d,[' '],asd
2020-06-03 14:14:34.388571,campaign,up,a,[' '],asd
2020-06-03 14:14:34.400299,campaign,up,s,[' '],asd
2020-06-03 14:14:34.448582,campaign,up,d,[' '],asd
2020-06-03 14:14:34.448582,campaign,down, ,[' '],asd
2020-06-03 14:14:34.670064,voice,down,a,[' '],a
2020-06-03 14:14:34.721109,voice,down,s,[' '],as
2020-06-03 14:14:34.770658,voice,down,d,[' '],asd
2020-06-03 14:14:34.841228,voice,up,a,[' '],asd
2020-06-03 14:14:34.858244,voice,up,s,[' '],asd
2020-06-03 14:14:34.901283,voice,down, ,[' '],asd
2020-06-03 14:14:34.910291,voice,up,d,[' '],asd
2020-06-03 14:14:35.081477,leather,down,a,[' '],a
2020-06-03 14:14:35.121512,leather,down,s,[' '],as
2020-06-03 14:14:35.170557,leather,down,d,[' '],asd
2020-06-03 14:14:35.249629,leather,up,a,[' '],asd
2020-06-03 14:14:35.258638,leather,up,s,[' '],asd
2020-06-03 14:14:35.310685,leather,up,d,[' '],asd
2020-06-03 14:14:35.328701,leather,down, ,[' '],asd
2020-06-03 14:14:35.470843,buck,down,a,[' '],a
2020-06-03 14:14:35.520889,buck,down,s,[' '],as
2020-06-03 14:14:35.580944,buck,down,d,[' '],asd
2020-06-03 14:14:35.669024,buck,up,a,[' '],asd
2020-06-03 14:14:35.697049,buck,up,s,[' '],asd
2020-06-03 14:14:35.728078,buck,down, ,[' '],asd
2020-06-03 14:14:35.738087,buck,up,d,[' '],asd
