time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:13:44.818147,interest,down,a,[' '],a
2020-06-03 14:13:44.837765,interest,down,s,[' '],as
2020-06-03 14:13:44.877307,interest,down,d,[' '],asd
2020-06-03 14:13:44.907335,interest,up,a,[' '],asd
2020-06-03 14:13:44.928354,interest,up,s,[' '],asd
2020-06-03 14:13:44.978399,interest,up,d,[' '],asd
2020-06-03 14:13:45.057640,interest,down, ,[' '],asd
2020-06-03 14:13:45.846744,director,down,a,[' '],a
2020-06-03 14:13:45.866762,director,down,s,[' '],as
2020-06-03 14:13:45.918314,director,down,d,[' '],asd
2020-06-03 14:13:45.957393,director,up,a,[' '],asd
2020-06-03 14:13:45.987406,director,up,s,[' '],asd
2020-06-03 14:13:46.046431,director,up,d,[' '],asd
2020-06-03 14:13:46.166540,director,down, ,[' '],asd
2020-06-03 14:13:46.816670,defeat,down,a,[' '],a
2020-06-03 14:13:46.848699,defeat,down,s,[' '],as
2020-06-03 14:13:46.877726,defeat,down,d,[' '],asd
2020-06-03 14:13:46.896742,defeat,up,a,[' '],asd
2020-06-03 14:13:46.927771,defeat,up,s,[' '],asd
2020-06-03 14:13:46.987826,defeat,up,d,[' '],asd
2020-06-03 14:13:47.089944,defeat,down, ,[' '],asd
2020-06-03 14:13:47.537857,enhance,down,a,[' '],a
2020-06-03 14:13:47.557947,enhance,down,s,[' '],as
2020-06-03 14:13:47.626937,enhance,down,d,[' '],asd
2020-06-03 14:13:47.657498,enhance,up,a,[' '],asd
2020-06-03 14:13:47.697605,enhance,up,s,[' '],asd
2020-06-03 14:13:47.746579,enhance,up,d,[' '],asd
2020-06-03 14:13:47.838663,enhance,down, ,[' '],asd
2020-06-03 14:13:48.247666,assign,down,a,[' '],a
2020-06-03 14:13:48.287918,assign,down,s,[' '],as
2020-06-03 14:13:48.338036,assign,down,d,[' '],asd
2020-06-03 14:13:48.378042,assign,up,a,[' '],asd
2020-06-03 14:13:48.396797,assign,up,s,[' '],asd
2020-06-03 14:13:48.458383,assign,up,d,[' '],asd
2020-06-03 14:13:48.507711,assign,down, ,[' '],asd
2020-06-03 14:13:48.667726,lap,down,a,[' '],a
2020-06-03 14:13:48.709116,lap,down,s,[' '],as
2020-06-03 14:13:48.767169,lap,down,d,[' '],asd
2020-06-03 14:13:48.806709,lap,up,a,[' '],asd
2020-06-03 14:13:48.837757,lap,up,s,[' '],asd
2020-06-03 14:13:48.886801,lap,up,d,[' '],asd
2020-06-03 14:13:48.926837,lap,down, ,[' '],asd
2020-06-03 14:13:49.058497,derive,down,a,[' '],a
2020-06-03 14:13:49.116560,derive,down,s,[' '],as
2020-06-03 14:13:49.167606,derive,down,d,[' '],asd
2020-06-03 14:13:49.239671,derive,up,a,[' '],asd
2020-06-03 14:13:49.257218,derive,up,s,[' '],asd
2020-06-03 14:13:49.308264,derive,up,d,[' '],asd
2020-06-03 14:13:49.357309,derive,down, ,[' '],asd
