time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:35:08.610209,letter,down,l,[' '],l
2020-06-03 14:35:08.661256,letter,down,e,[' '],le
2020-06-03 14:35:08.690283,letter,up,l,[' '],le
2020-06-03 14:35:08.740327,letter,up,e,[' '],le
2020-06-03 14:35:08.820401,letter,down,t,[' '],let
2020-06-03 14:35:08.880455,letter,up,t,[' '],let
2020-06-03 14:35:08.960538,letter,down,t,[' '],lett
2020-06-03 14:35:09.030602,letter,up,t,[' '],lett
2020-06-03 14:35:09.110675,letter,down,e,[' '],lette
2020-06-03 14:35:09.161731,letter,down,r,[' '],letter
2020-06-03 14:35:09.190757,letter,up,e,[' '],letter
2020-06-03 14:35:09.240803,letter,up,r,[' '],letter
2020-06-03 14:35:09.240803,letter,down, ,[' '],letter
2020-06-03 14:35:09.780808,curious,down,c,[' '],c
2020-06-03 14:35:09.860881,curious,up,c,[' '],c
2020-06-03 14:35:09.979989,curious,down,u,[' '],cu
2020-06-03 14:35:10.041044,curious,down,r,[' '],cur
2020-06-03 14:35:10.051054,curious,up,u,[' '],cur
2020-06-03 14:35:10.090089,curious,up,r,[' '],cur
2020-06-03 14:35:10.191687,curious,down,i,[' '],curi
2020-06-03 14:35:10.279767,curious,down,o,[' '],curio
2020-06-03 14:35:10.289776,curious,up,i,[' '],curio
2020-06-03 14:35:10.421896,curious,up,o,[' '],curio
2020-06-03 14:35:10.460932,curious,down,u,[' '],curiou
2020-06-03 14:35:10.571538,curious,up,u,[' '],curiou
2020-06-03 14:35:10.590555,curious,down,s,[' '],curious
2020-06-03 14:35:10.660619,curious,up,s,[' '],curious
2020-06-03 14:35:10.670628,curious,down, ,[' '],curious
2020-06-03 14:35:11.411302,difference,down,d,[' '],d
2020-06-03 14:35:11.460346,difference,up,d,[' '],d
2020-06-03 14:35:11.590981,difference,down,i,[' '],di
2020-06-03 14:35:11.671560,difference,up,i,[' '],di
2020-06-03 14:35:11.700586,difference,down,f,[' '],dif
2020-06-03 14:35:11.750632,difference,up,f,[' '],dif
2020-06-03 14:35:11.840714,difference,down,f,[' '],diff
2020-06-03 14:35:11.900768,difference,up,f,[' '],diff
2020-06-03 14:35:12.029886,difference,down,e,[' '],diffe
2020-06-03 14:35:12.071924,difference,down,r,[' '],differ
2020-06-03 14:35:12.110960,difference,up,e,[' '],differ
2020-06-03 14:35:12.150996,difference,up,r,[' '],differ
2020-06-03 14:35:12.180022,difference,down,e,[' '],differe
2020-06-03 14:35:12.280114,difference,up,e,[' '],differe
2020-06-03 14:35:12.340167,difference,down,n,[' '],differen
2020-06-03 14:35:12.440764,difference,up,n,[' '],differen
2020-06-03 14:35:12.501819,difference,down,e,[' '],differene
2020-06-03 14:35:12.560873,difference,down, ,[' '],differene
2020-06-03 14:35:12.590900,difference,up,e,[' '],differene
2020-06-03 14:35:13.002275,sick,down,i,[' '],i
2020-06-03 14:35:13.032302,sick,down,s,[' '],is
2020-06-03 14:35:13.081346,sick,up,i,[' '],is
2020-06-03 14:35:13.100363,sick,up,s,[' '],is
2020-06-03 14:35:13.441709,sick,down,backspace,[' '],i
2020-06-03 14:35:13.501764,sick,up,backspace,[' '],i
2020-06-03 14:35:13.569826,sick,down,backspace,[' '],
2020-06-03 14:35:13.650899,sick,up,backspace,[' '],
2020-06-03 14:35:13.650899,sick,down,s,[' '],s
2020-06-03 14:35:13.710458,sick,up,s,[' '],s
2020-06-03 14:35:13.760504,sick,down,i,[' '],si
2020-06-03 14:35:13.820558,sick,down,c,[' '],sic
2020-06-03 14:35:13.840576,sick,up,i,[' '],sic
2020-06-03 14:35:13.880613,sick,up,c,[' '],sic
2020-06-03 14:35:13.931659,sick,down,k,[' '],sick
2020-06-03 14:35:14.000723,sick,down, ,[' '],sick
2020-06-03 14:35:14.040759,sick,up,k,[' '],sick
2020-06-03 14:35:14.181392,prison,down,p,[' '],p
2020-06-03 14:35:14.291507,prison,up,p,[' '],p
2020-06-03 14:35:14.342058,prison,down,r,[' '],pr
2020-06-03 14:35:14.412625,prison,up,r,[' '],pr
2020-06-03 14:35:14.500210,prison,down,i,[' '],pri
2020-06-03 14:35:14.580283,prison,up,i,[' '],pri
2020-06-03 14:35:14.700392,prison,down,s,[' '],pris
2020-06-03 14:35:14.760447,prison,up,s,[' '],pris
2020-06-03 14:35:14.941621,prison,down,o,[' '],priso
2020-06-03 14:35:14.991171,prison,down,n,[' '],prison
2020-06-03 14:35:15.080757,prison,up,o,[' '],prison
2020-06-03 14:35:15.080757,prison,down, ,[' '],prison
2020-06-03 14:35:15.132323,prison,up,n,[' '],prison
2020-06-03 14:35:15.390567,western,down,w,[' '],w
