|2020-05-22 18:24:53.579459| s
|2020-05-22 18:24:53.736106| e
|2020-05-22 18:24:53.985389| v
|2020-05-22 18:24:54.231141| e
|2020-05-22 18:24:54.281186| r
|2020-05-22 18:24:54.431323| e
|2020-05-22 18:24:54.668074| space
|2020-05-22 18:24:55.417314| e
|2020-05-22 18:24:55.715089| t
|2020-05-22 18:24:55.764146| r
|2020-05-22 18:24:55.968346| a
|2020-05-22 18:24:56.226085| space
|2020-05-22 18:24:57.764577| t
|2020-05-22 18:24:58.012803| a
|2020-05-22 18:24:58.114896| s
|2020-05-22 18:24:58.267604| t
|2020-05-22 18:24:58.384711| e
|2020-05-22 18:24:58.643579| space
|2020-05-22 18:24:59.151050| a
|2020-05-22 18:24:59.512893| w
|2020-05-22 18:24:59.616988| a
|2020-05-22 18:24:59.773148| r
|2020-05-22 18:24:59.828198| e
|2020-05-22 18:25:00.059428| space
|2020-05-22 18:25:00.866708| r
|2020-05-22 18:25:00.919756| e
|2020-05-22 18:25:00.970803| a
|2020-05-22 18:25:01.185024| c
|2020-05-22 18:25:01.404233| t
|2020-05-22 18:25:01.568382| space
|2020-05-22 18:25:02.104914| s
|2020-05-22 18:25:02.266185| e
|2020-05-22 18:25:02.371281| e
|2020-05-22 18:25:02.529479| space
|2020-05-22 18:25:03.215264| c
|2020-05-22 18:25:03.397448| a
|2020-05-22 18:25:03.555592| r
|2020-05-22 18:25:03.822835| e
|2020-05-22 18:25:03.980988| e
|2020-05-22 18:25:04.092130| r
|2020-05-22 18:25:04.579115| space
