|2020-05-22 18:25:54.924726| west w |check - incorrect|
|2020-05-22 18:25:55.135918| west e |check - incorrect|
|2020-05-22 18:25:55.381660| west s |check - incorrect|
|2020-05-22 18:25:55.439236| west t |check - correct|
|2020-05-22 18:25:55.645544| estate space |check - incorrect|
|2020-05-22 18:25:55.994752| estate e |check - incorrect|
|2020-05-22 18:25:56.147396| estate s |check - incorrect|
|2020-05-22 18:25:56.401627| estate t |check - incorrect|
|2020-05-22 18:25:56.509726| estate a |check - incorrect|
|2020-05-22 18:25:56.669872| estate t |check - incorrect|
|2020-05-22 18:25:56.717915| estate e |check - correct|
|2020-05-22 18:25:56.911596| grass space |check - incorrect|
|2020-05-22 18:25:57.561693| grass g |check - incorrect|
|2020-05-22 18:25:57.561693| grass r |check - incorrect|
|2020-05-22 18:25:57.961563| grass a |check - incorrect|
|2020-05-22 18:25:58.173274| grass s |check - incorrect|
|2020-05-22 18:25:58.291891| grass s |check - correct|
|2020-05-22 18:25:58.450048| attract space |check - incorrect|
|2020-05-22 18:25:58.595687| attract a |check - incorrect|
|2020-05-22 18:25:58.990054| attract t |check - incorrect|
|2020-05-22 18:25:59.140872| attract t |check - incorrect|
|2020-05-22 18:25:59.390575| attract r |check - incorrect|
|2020-05-22 18:25:59.592758| attract a |check - incorrect|
|2020-05-22 18:26:00.004170| attract c |check - incorrect|
|2020-05-22 18:26:00.210357| attract t |check - correct|
|2020-05-22 18:26:00.569228| sacred space |check - incorrect|
