time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-04 20:01:33.682682,most,down,m,[' '],m
2020-06-04 20:01:33.731727,most,down,o,[' '],mo
2020-06-04 20:01:33.781773,most,down,s,[' '],mos
2020-06-04 20:01:33.796786,most,up,m,[' '],mos
2020-06-04 20:01:33.821809,most,down,t,[' '],most
2020-06-04 20:01:33.852837,most,down, ,[' '],most
2020-06-04 20:01:33.861845,most,up,o,[' '],most
2020-06-04 20:01:33.871855,most,up,s,[' '],most
2020-06-04 20:01:33.896878,most,up,t,[' '],most
2020-06-04 20:01:34.097059,water,down,w,[' '],w
2020-06-04 20:01:34.221172,water,up,w,[' '],w
2020-06-04 20:01:34.221172,water,down,a,[' '],wa
2020-06-04 20:01:34.332273,water,up,a,[' '],wa
2020-06-04 20:01:34.361299,water,down,t,[' '],wat
2020-06-04 20:01:34.432364,water,up,t,[' '],wat
2020-06-04 20:01:34.546468,water,down,e,[' '],wate
2020-06-04 20:01:34.596513,water,down,r,[' '],water
2020-06-04 20:01:34.632546,water,up,e,[' '],water
2020-06-04 20:01:34.662573,water,up,r,[' '],water
2020-06-04 20:01:34.745649,water,down, ,[' '],water
2020-06-04 20:01:34.952944,right,down,r,[' '],r
2020-06-04 20:01:35.021900,right,up,r,[' '],r
2020-06-04 20:01:35.021900,right,down,i,[' '],ri
2020-06-04 20:01:35.101973,right,up,i,[' '],ri
2020-06-04 20:01:35.162028,right,down,g,[' '],rig
2020-06-04 20:01:35.222332,right,down,h,[' '],righ
2020-06-04 20:01:35.247105,right,up,g,[' '],righ
2020-06-04 20:01:35.297150,right,down, ,[' '],righ
2020-06-04 20:01:35.351199,right,up,h,[' '],righ
2020-06-04 20:01:35.352201,right,down,t,[' '],right
2020-06-04 20:01:35.432350,right,up,t,[' '],right
2020-06-04 20:01:35.672492,ask,down,a,[' '],a
2020-06-04 20:01:35.733548,ask,down,s,[' '],as
2020-06-04 20:01:35.795604,ask,up,a,[' '],as
2020-06-04 20:01:35.847651,ask,up,s,[' '],as
2020-06-04 20:01:35.847651,ask,down,k,[' '],ask
2020-06-04 20:01:35.903702,ask,down, ,[' '],ask
2020-06-04 20:01:35.953060,ask,up,k,[' '],ask
2020-06-04 20:01:36.111892,being,down,b,[' '],b
2020-06-04 20:01:36.200973,being,up,b,[' '],b
2020-06-04 20:01:36.231505,being,down,r,[' '],br
2020-06-04 20:01:36.273543,being,up,r,[' '],br
2020-06-04 20:01:36.321587,being,down,i,[' '],bri
2020-06-04 20:01:36.401661,being,down,n,[' '],brin
2020-06-04 20:01:36.462716,being,up,i,[' '],brin
2020-06-04 20:01:36.532779,being,up,n,[' '],brin
2020-06-04 20:01:36.796019,being,down,ctrl,[' '],brin
2020-06-04 20:01:36.846065,being,down,backspace,[' '],
2020-06-04 20:01:36.947156,being,up,backspace,[' '],
2020-06-04 20:01:37.052255,being,up,ctrl,[' '],
2020-06-04 20:01:37.412580,being,down,b,[' '],b
2020-06-04 20:01:37.452616,being,down,e,[' '],be
2020-06-04 20:01:37.491652,being,up,b,[' '],be
2020-06-04 20:01:37.523682,being,up,e,[' '],be
2020-06-04 20:01:37.592744,being,down,i,[' '],bei
2020-06-04 20:01:37.651797,being,down,n,[' '],bein
2020-06-04 20:01:37.691834,being,down,g,[' '],being
2020-06-04 20:01:37.702844,being,up,i,[' '],being
2020-06-04 20:01:37.760896,being,up,n,[' '],being
2020-06-04 20:01:37.771906,being,up,g,[' '],being
2020-06-04 20:01:37.861988,being,down, ,[' '],being
2020-06-04 20:01:38.261872,now,down,n,[' '],n
2020-06-04 20:01:38.331936,now,up,n,[' '],n
2020-06-04 20:01:38.403001,now,down,o,[' '],no
2020-06-04 20:01:38.471062,now,down,w,[' '],now
2020-06-04 20:01:38.483361,now,up,o,[' '],now
2020-06-04 20:01:38.523110,now,up,w,[' '],now
2020-06-04 20:01:38.523110,now,down, ,[' '],now
2020-06-04 20:01:38.823384,between,down,b,[' '],b
2020-06-04 20:01:38.913465,between,up,b,[' '],b
2020-06-04 20:01:38.913465,between,down,e,[' '],be
2020-06-04 20:01:38.962509,between,up,e,[' '],be
2020-06-04 20:01:39.322837,between,down,w,[' '],bew
2020-06-04 20:01:39.422928,between,up,w,[' '],bew
2020-06-04 20:01:39.732209,between,down,backspace,[' '],be
2020-06-04 20:01:39.802273,between,up,backspace,[' '],be
2020-06-04 20:01:40.142583,between,down,t,[' '],bet
2020-06-04 20:01:40.181618,between,down,w,[' '],betw
2020-06-04 20:01:40.221655,between,up,t,[' '],betw
2020-06-04 20:01:40.273702,between,up,w,[' '],betw
2020-06-04 20:01:40.443857,between,down,e,[' '],betwe
2020-06-04 20:01:40.501910,between,up,e,[' '],betwe
2020-06-04 20:01:40.581982,between,down,e,[' '],betwee
2020-06-04 20:01:40.662055,between,up,e,[' '],betwee
2020-06-04 20:01:40.662055,between,down,n,[' '],between
2020-06-04 20:01:40.722110,between,down, ,[' '],between
2020-06-04 20:01:40.772155,between,up,n,[' '],between
2020-06-04 20:01:40.912284,might,down,m,[' '],m
2020-06-04 20:01:40.981345,might,up,m,[' '],m
2020-06-04 20:01:41.052410,might,down,i,[' '],mi
2020-06-04 20:01:41.111467,might,down,g,[' '],mig
2020-06-04 20:01:41.131482,might,up,i,[' '],mig
2020-06-04 20:01:41.182528,might,up,g,[' '],mig
2020-06-04 20:01:41.234576,might,down,h,[' '],migh
2020-06-04 20:01:41.282619,might,down,t,[' '],might
2020-06-04 20:01:41.303639,might,down, ,[' '],might
2020-06-04 20:01:41.354685,might,up,h,[' '],might
2020-06-04 20:01:41.364694,might,up,t,[' '],might
2020-06-04 20:01:41.492811,put,down,p,[' '],p
2020-06-04 20:01:41.593903,put,up,p,[' '],p
2020-06-04 20:01:41.612920,put,down,u,[' '],pu
2020-06-04 20:01:41.685987,put,down,t,[' '],put
2020-06-04 20:01:41.741037,put,up,u,[' '],put
2020-06-04 20:01:41.752047,put,up,t,[' '],put
2020-06-04 20:01:41.873157,put,down, ,[' '],put
2020-06-04 20:01:42.036305,near,down,n,[' '],n
2020-06-04 20:01:42.136396,near,up,n,[' '],n
2020-06-04 20:01:42.136396,near,down,e,[' '],ne
2020-06-04 20:01:42.174431,near,down,a,[' '],nea
2020-06-04 20:01:42.204458,near,up,e,[' '],nea
2020-06-04 20:01:42.272520,near,up,a,[' '],nea
2020-06-04 20:01:42.313557,near,down,r,[' '],near
2020-06-04 20:01:42.402836,near,up,r,[' '],near
2020-06-04 20:01:42.432834,near,down, ,[' '],near
2020-06-04 20:01:42.883075,came,down,c,[' '],c
2020-06-04 20:01:42.952138,came,down,a,[' '],ca
2020-06-04 20:01:42.973158,came,up,c,[' '],ca
2020-06-04 20:01:43.042220,came,up,a,[' '],ca
2020-06-04 20:01:43.042220,came,down,m,[' '],cam
2020-06-04 20:01:43.142311,came,up,m,[' '],cam
2020-06-04 20:01:43.196360,came,down,e,[' '],came
2020-06-04 20:01:43.266424,came,up,e,[' '],came
2020-06-04 20:01:43.315469,came,down, ,[' '],came
2020-06-04 20:01:43.662983,feet,down,f,[' '],f
2020-06-04 20:01:43.714832,feet,up,f,[' '],f
2020-06-04 20:01:43.853009,feet,down,e,[' '],fe
2020-06-04 20:01:43.905005,feet,up,e,[' '],fe
2020-06-04 20:01:43.965060,feet,down,e,[' '],fee
2020-06-04 20:01:44.056143,feet,down,t,[' '],feet
2020-06-04 20:01:44.073158,feet,up,e,[' '],feet
2020-06-04 20:01:44.142398,feet,up,t,[' '],feet
2020-06-04 20:01:44.195271,feet,down, ,[' '],feet
2020-06-04 20:01:44.364423,school,down,s,[' '],s
2020-06-04 20:01:44.432485,school,down,c,[' '],sc
2020-06-04 20:01:44.505551,school,down,h,[' '],sch
2020-06-04 20:01:44.513558,school,up,s,[' '],sch
2020-06-04 20:01:44.533577,school,up,c,[' '],sch
2020-06-04 20:01:44.614650,school,up,h,[' '],sch
2020-06-04 20:01:44.675209,school,down,o,[' '],scho
2020-06-04 20:01:44.753280,school,up,o,[' '],scho
2020-06-04 20:01:44.803326,school,down,o,[' '],schoo
2020-06-04 20:01:44.885401,school,up,o,[' '],schoo
2020-06-04 20:01:44.995502,school,down,l,[' '],school
2020-06-04 20:01:45.062562,school,down, ,[' '],school
2020-06-04 20:01:45.112608,school,up,l,[' '],school
2020-06-04 20:01:45.352826,such,down,s,[' '],s
2020-06-04 20:01:45.442908,such,up,s,[' '],s
2020-06-04 20:01:45.495956,such,down,u,[' '],su
2020-06-04 20:01:45.556011,such,up,u,[' '],su
2020-06-04 20:01:45.574027,such,down,c,[' '],suc
2020-06-04 20:01:45.646093,such,up,c,[' '],suc
2020-06-04 20:01:45.682645,such,down,h,[' '],such
2020-06-04 20:01:45.766722,such,down, ,[' '],such
2020-06-04 20:01:45.804758,such,up,h,[' '],such
2020-06-04 20:01:46.204121,group,down,g,[' '],g
2020-06-04 20:01:46.253164,group,down,r,[' '],gr
2020-06-04 20:01:46.316222,group,up,g,[' '],gr
2020-06-04 20:01:46.345248,group,down,o,[' '],gro
2020-06-04 20:01:46.365268,group,up,r,[' '],gro
2020-06-04 20:01:46.404303,group,down,u,[' '],grou
2020-06-04 20:01:46.443337,group,up,o,[' '],grou
2020-06-04 20:01:46.516404,group,up,u,[' '],grou
2020-06-04 20:01:46.593474,group,down,p,[' '],group
2020-06-04 20:01:46.613492,group,down, ,[' '],group
2020-06-04 20:01:46.716586,group,up,p,[' '],group
2020-06-04 20:01:46.856713,as,down,a,[' '],a
2020-06-04 20:01:46.902756,as,down,s,[' '],as
2020-06-04 20:01:46.953801,as,up,a,[' '],as
2020-06-04 20:01:47.004848,as,up,s,[' '],as
2020-06-04 20:01:47.065904,as,down, ,[' '],as
2020-06-04 20:01:47.275095,hard,down,h,[' '],h
2020-06-04 20:01:47.374701,hard,up,h,[' '],h
2020-06-04 20:01:47.396722,hard,down,a,[' '],ha
2020-06-04 20:01:47.464784,hard,down,r,[' '],har
2020-06-04 20:01:47.522836,hard,up,a,[' '],har
2020-06-04 20:01:47.554866,hard,up,r,[' '],har
2020-06-04 20:01:47.696995,hard,down,d,[' '],hard
2020-06-04 20:01:47.774065,hard,up,d,[' '],hard
2020-06-04 20:01:47.863147,hard,down, ,[' '],hard
2020-06-04 20:01:48.343583,began,down,b,[' '],b
2020-06-04 20:01:48.387623,began,down,e,[' '],be
2020-06-04 20:01:48.436668,began,up,b,[' '],be
2020-06-04 20:01:48.486713,began,down,g,[' '],beg
2020-06-04 20:01:48.492719,began,up,e,[' '],beg
2020-06-04 20:01:48.585804,began,down,a,[' '],bega
2020-06-04 20:01:48.602819,began,up,g,[' '],bega
