2020-05-22 18:27:07.450223,extra,e,check - incorrect
2020-05-22 18:27:07.653451,extra,x,check - incorrect
2020-05-22 18:27:07.883716,extra,t,check - incorrect
2020-05-22 18:27:07.883716,extra,r,check - incorrect
2020-05-22 18:27:08.084433,extra,a,check - correct
2020-05-22 18:27:08.239079,feed,space,check - incorrect
2020-05-22 18:27:08.689521,feed,f,check - incorrect
2020-05-22 18:27:08.845967,feed,e,check - incorrect
2020-05-22 18:27:08.953265,feed,e,check - incorrect
2020-05-22 18:27:09.166478,feed,d,check - correct
2020-05-22 18:27:09.264567,car,space,check - incorrect
2020-05-22 18:27:09.413206,car,a,check - incorrect
2020-05-22 18:27:09.819080,car,backspace,check - incorrect
2020-05-22 18:27:09.869126,car,c,check - incorrect
2020-05-22 18:27:09.915167,car,a,check - incorrect
2020-05-22 18:27:10.057297,car,r,check - correct
2020-05-22 18:27:10.251474,attract,space,check - incorrect
2020-05-22 18:27:10.489691,attract,a,check - incorrect
2020-05-22 18:27:10.795550,attract,t,check - incorrect
2020-05-22 18:27:10.895565,attract,t,check - incorrect
2020-05-22 18:27:10.942608,attract,r,check - incorrect
2020-05-22 18:27:11.173332,attract,a,check - incorrect
2020-05-22 18:27:11.358500,attract,c,check - incorrect
2020-05-22 18:27:11.541667,attract,t,check - correct
2020-05-22 18:27:11.726851,far,space,check - incorrect
2020-05-22 18:27:12.245727,far,f,check - incorrect
2020-05-22 18:27:12.294676,far,a,check - incorrect
2020-05-22 18:27:12.629001,far,r,check - correct
2020-05-22 18:27:12.777150,add,space,check - incorrect
2020-05-22 18:27:13.027378,add,a,check - incorrect
2020-05-22 18:27:13.226559,add,d,check - incorrect
2020-05-22 18:27:13.373707,add,d,check - correct
