time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:17:12.240683,establish,down,a,[' '],a
2020-06-03 14:17:12.271217,establish,down,s,[' '],as
2020-06-03 14:17:12.322281,establish,down,d,[' '],asd
2020-06-03 14:17:12.410361,establish,up,a,[' '],asd
2020-06-03 14:17:12.431380,establish,up,s,[' '],asd
2020-06-03 14:17:12.491435,establish,up,d,[' '],asd
2020-06-03 14:17:12.602552,establish,down, ,[' '],asd
2020-06-03 14:17:13.430853,whole,down,a,[' '],a
2020-06-03 14:17:13.460881,whole,down,s,[' '],as
2020-06-03 14:17:13.504921,whole,down,d,[' '],asd
2020-06-03 14:17:13.572487,whole,up,a,[' '],asd
2020-06-03 14:17:13.600512,whole,up,s,[' '],asd
2020-06-03 14:17:13.680585,whole,up,d,[' '],asd
2020-06-03 14:17:13.931813,whole,down, ,[' '],asd
2020-06-03 14:17:14.412251,abuse,down,a,[' '],a
2020-06-03 14:17:14.441277,abuse,down,s,[' '],as
2020-06-03 14:17:14.492323,abuse,down,d,[' '],asd
2020-06-03 14:17:14.542369,abuse,up,a,[' '],asd
2020-06-03 14:17:14.561386,abuse,up,s,[' '],asd
2020-06-03 14:17:14.631450,abuse,up,d,[' '],asd
2020-06-03 14:17:14.781601,abuse,down, ,[' '],asd
2020-06-03 14:17:15.672931,absence,down,a,[' '],a
2020-06-03 14:17:15.691948,absence,down,s,[' '],as
2020-06-03 14:17:15.740992,absence,down,d,[' '],asd
2020-06-03 14:17:15.790038,absence,up,a,[' '],asd
2020-06-03 14:17:15.808054,absence,up,s,[' '],asd
2020-06-03 14:17:15.862103,absence,up,d,[' '],asd
2020-06-03 14:17:15.972203,absence,down, ,[' '],asd
2020-06-03 14:17:16.362583,survivor,down,a,[' '],a
2020-06-03 14:17:16.410626,survivor,down,s,[' '],as
2020-06-03 14:17:16.470699,survivor,down,d,[' '],asd
2020-06-03 14:17:16.510749,survivor,up,a,[' '],asd
2020-06-03 14:17:16.541777,survivor,up,s,[' '],asd
2020-06-03 14:17:16.602832,survivor,up,d,[' '],asd
2020-06-03 14:17:16.692914,survivor,down, ,[' '],asd
2020-06-03 14:17:17.120808,intellectual,down,a,[' '],a
2020-06-03 14:17:17.150839,intellectual,down,s,[' '],as
2020-06-03 14:17:17.211891,intellectual,down,d,[' '],asd
2020-06-03 14:17:17.262938,intellectual,up,a,[' '],asd
2020-06-03 14:17:17.272947,intellectual,up,s,[' '],asd
2020-06-03 14:17:17.322993,intellectual,up,d,[' '],asd
2020-06-03 14:17:17.391055,intellectual,down, ,[' '],asd
2020-06-03 14:17:17.751382,increased,down,a,[' '],a
2020-06-03 14:17:17.801428,increased,down,s,[' '],as
2020-06-03 14:17:17.842465,increased,down,d,[' '],asd
2020-06-03 14:17:17.882502,increased,up,a,[' '],asd
2020-06-03 14:17:17.913530,increased,up,s,[' '],asd
2020-06-03 14:17:17.971582,increased,up,d,[' '],asd
2020-06-03 14:17:18.011619,increased,down, ,[' '],asd
2020-06-03 14:17:18.401501,diet,down,a,[' '],a
2020-06-03 14:17:18.450915,diet,down,s,[' '],as
2020-06-03 14:17:18.523612,diet,down,d,[' '],asd
2020-06-03 14:17:18.562648,diet,up,a,[' '],asd
2020-06-03 14:17:18.592675,diet,up,s,[' '],asd
2020-06-03 14:17:18.651728,diet,up,d,[' '],asd
2020-06-03 14:17:18.721792,diet,down, ,[' '],asd
2020-06-03 14:17:19.116707,concentrate,down,a,[' '],a
2020-06-03 14:17:19.160747,concentrate,down,s,[' '],as
2020-06-03 14:17:19.213812,concentrate,down,d,[' '],asd
2020-06-03 14:17:19.261856,concentrate,up,a,[' '],asd
2020-06-03 14:17:19.293884,concentrate,up,s,[' '],asd
2020-06-03 14:17:19.312902,concentrate,up,d,[' '],asd
2020-06-03 14:17:19.341930,concentrate,down, ,[' '],asd
