time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 14:06:07.893034,childhood,down,c,[' '],c
2020-06-03 14:06:07.972611,childhood,up,c,[' '],c
2020-06-03 14:06:08.082711,childhood,down,h,[' '],ch
2020-06-03 14:06:08.172793,childhood,up,h,[' '],ch
2020-06-03 14:06:08.242856,childhood,down,i,[' '],chi
2020-06-03 14:06:08.342450,childhood,up,i,[' '],chi
2020-06-03 14:06:08.462579,childhood,down,l,[' '],chil
2020-06-03 14:06:08.542652,childhood,up,l,[' '],chil
2020-06-03 14:06:08.601705,childhood,down,d,[' '],child
2020-06-03 14:06:08.672770,childhood,up,d,[' '],child
2020-06-03 14:06:09.772805,childhood,down,h,[' '],childh
2020-06-03 14:06:09.842869,childhood,up,h,[' '],childh
2020-06-03 14:06:09.892914,childhood,down,o,[' '],childho
2020-06-03 14:06:09.952969,childhood,up,o,[' '],childho
2020-06-03 14:06:10.032041,childhood,down,o,[' '],childhoo
2020-06-03 14:06:10.103105,childhood,up,o,[' '],childhoo
2020-06-03 14:06:10.113114,childhood,down,d,[' '],childhood
2020-06-03 14:06:10.162675,childhood,up,d,[' '],childhood
2020-06-03 14:06:10.162675,childhood,down, ,[' '],childhood
2020-06-03 14:06:11.002497,according,down,a,[' '],a
2020-06-03 14:06:11.062551,according,up,a,[' '],a
2020-06-03 14:06:11.182670,according,down,c,[' '],ac
2020-06-03 14:06:11.242724,according,up,c,[' '],ac
2020-06-03 14:06:11.322797,according,down,c,[' '],acc
2020-06-03 14:06:11.402870,according,up,c,[' '],acc
2020-06-03 14:06:11.512970,according,down,o,[' '],acco
2020-06-03 14:06:11.582032,according,down,r,[' '],accor
2020-06-03 14:06:11.612059,according,up,o,[' '],accor
2020-06-03 14:06:11.632078,according,up,r,[' '],accor
2020-06-03 14:06:11.753188,according,down,d,[' '],accord
2020-06-03 14:06:11.812242,according,up,d,[' '],accord
2020-06-03 14:06:12.213113,according,down,i,[' '],accordi
2020-06-03 14:06:12.262158,according,down,n,[' '],accordin
2020-06-03 14:06:12.283176,according,down,g,[' '],according
2020-06-03 14:06:12.322212,according,up,i,[' '],according
2020-06-03 14:06:12.342232,according,up,g,[' '],according
2020-06-03 14:06:12.353240,according,up,n,[' '],according
2020-06-03 14:06:12.422303,according,down, ,[' '],according
2020-06-03 14:06:13.206027,react,down,r,[' '],r
2020-06-03 14:06:13.244061,react,down,e,[' '],re
2020-06-03 14:06:13.293106,react,up,r,[' '],re
2020-06-03 14:06:13.323134,react,up,e,[' '],re
2020-06-03 14:06:13.433234,react,down,a,[' '],rea
2020-06-03 14:06:13.532324,react,up,a,[' '],rea
2020-06-03 14:06:13.606408,react,down,c,[' '],reac
2020-06-03 14:06:13.656454,react,up,c,[' '],reac
2020-06-03 14:06:13.792579,react,down,t,[' '],react
2020-06-03 14:06:13.855635,react,up,t,[' '],react
2020-06-03 14:06:13.903679,react,down, ,[' '],react
2020-06-03 14:06:14.793015,enhance,down,e,[' '],e
2020-06-03 14:06:14.862078,enhance,up,e,[' '],e
2020-06-03 14:06:14.994198,enhance,down,n,[' '],en
2020-06-03 14:06:15.055255,enhance,up,n,[' '],en
2020-06-03 14:06:15.193379,enhance,down,h,[' '],enh
2020-06-03 14:06:15.263443,enhance,up,h,[' '],enh
2020-06-03 14:06:15.263443,enhance,down,a,[' '],enha
2020-06-03 14:06:15.343516,enhance,up,a,[' '],enha
2020-06-03 14:06:15.405572,enhance,down,n,[' '],enhan
2020-06-03 14:06:15.473634,enhance,down,c,[' '],enhanc
2020-06-03 14:06:15.482642,enhance,up,n,[' '],enhanc
2020-06-03 14:06:15.513671,enhance,down,e,[' '],enhance
2020-06-03 14:06:15.554708,enhance,up,c,[' '],enhance
2020-06-03 14:06:15.612761,enhance,up,e,[' '],enhance
2020-06-03 14:06:15.673816,enhance,down, ,[' '],enhance
2020-06-03 14:06:16.493607,decrease,down,d,[' '],d
2020-06-03 14:06:16.572680,decrease,up,d,[' '],d
2020-06-03 14:06:16.812403,decrease,down,e,[' '],de
2020-06-03 14:06:16.873458,decrease,up,e,[' '],de
2020-06-03 14:06:17.005578,decrease,down,c,[' '],dec
2020-06-03 14:06:17.042612,decrease,up,c,[' '],dec
2020-06-03 14:06:17.172730,decrease,down,r,[' '],decr
2020-06-03 14:06:17.223776,decrease,down,e,[' '],decre
2020-06-03 14:06:17.272821,decrease,up,r,[' '],decre
2020-06-03 14:06:17.332877,decrease,up,e,[' '],decre
2020-06-03 14:06:17.458486,decrease,down,a,[' '],decrea
2020-06-03 14:06:17.513040,decrease,down,s,[' '],decreas
2020-06-03 14:06:17.563085,decrease,up,a,[' '],decreas
2020-06-03 14:06:17.613131,decrease,up,s,[' '],decreas
2020-06-03 14:06:17.713729,decrease,down,e,[' '],decrease
2020-06-03 14:06:17.781790,decrease,up,e,[' '],decrease
2020-06-03 14:06:17.856858,decrease,down, ,[' '],decrease
2020-06-03 14:06:18.574016,protect,down,p,[' '],p
2020-06-03 14:06:18.664099,protect,up,p,[' '],p
2020-06-03 14:06:18.682115,protect,down,r,[' '],pr
2020-06-03 14:06:18.742674,protect,up,r,[' '],pr
2020-06-03 14:06:18.792719,protect,down,o,[' '],pro
2020-06-03 14:06:18.872802,protect,up,o,[' '],pro
2020-06-03 14:06:19.173074,protect,down,t,[' '],prot
2020-06-03 14:06:19.263157,protect,up,t,[' '],prot
2020-06-03 14:06:19.283175,protect,down,e,[' '],prote
2020-06-03 14:06:19.363248,protect,up,e,[' '],prote
2020-06-03 14:06:19.472347,protect,down,c,[' '],protec
2020-06-03 14:06:19.556423,protect,up,c,[' '],protec
2020-06-03 14:06:19.683056,protect,down,t,[' '],protect
2020-06-03 14:06:19.752654,protect,up,t,[' '],protect
