time,current_word,key_type,key_str,curr_key_list,curr_input
2020-06-03 13:50:34.462426,objective,down,o,[' '],o
2020-06-03 13:50:34.542499,objective,up,o,[' '],o
2020-06-03 13:50:34.671616,objective,down,b,[' '],ob
2020-06-03 13:50:34.731671,objective,up,b,[' '],ob
2020-06-03 13:50:34.871798,objective,down,j,[' '],obj
2020-06-03 13:50:34.941862,objective,up,j,[' '],obj
2020-06-03 13:50:34.971889,objective,down,e,[' '],obje
2020-06-03 13:50:35.011926,objective,down,c,[' '],objec
2020-06-03 13:50:35.081990,objective,up,e,[' '],objec
2020-06-03 13:50:35.106011,objective,up,c,[' '],objec
2020-06-03 13:50:35.242135,objective,down,t,[' '],object
2020-06-03 13:50:35.332218,objective,up,t,[' '],object
2020-06-03 13:50:35.905739,objective,down,i,[' '],objecti
2020-06-03 13:50:35.922755,objective,down,v,[' '],objectiv
2020-06-03 13:50:35.955785,objective,down,e,[' '],objective
2020-06-03 13:50:35.971799,objective,up,i,[' '],objective
2020-06-03 13:50:36.005830,objective,up,v,[' '],objective
2020-06-03 13:50:36.051872,objective,up,e,[' '],objective
2020-06-03 13:50:36.091908,objective,down, ,[' '],objective
2020-06-03 13:50:36.832595,permanent,down,p,[' '],p
2020-06-03 13:50:36.922678,permanent,up,p,[' '],p
2020-06-03 13:50:37.012760,permanent,down,e,[' '],pe
2020-06-03 13:50:37.052796,permanent,down,r,[' '],per
2020-06-03 13:50:37.105844,permanent,up,e,[' '],per
2020-06-03 13:50:37.156891,permanent,up,r,[' '],per
2020-06-03 13:50:37.282004,permanent,down,m,[' '],perm
2020-06-03 13:50:37.363078,permanent,up,m,[' '],perm
2020-06-03 13:50:37.542241,permanent,down,a,[' '],perma
2020-06-03 13:50:37.613306,permanent,up,a,[' '],perma
2020-06-03 13:50:37.911589,permanent,down,n,[' '],perman
2020-06-03 13:50:37.982653,permanent,up,n,[' '],perman
2020-06-03 13:50:38.041707,permanent,down,e,[' '],permane
2020-06-03 13:50:38.106766,permanent,up,e,[' '],permane
2020-06-03 13:50:38.872478,permanent,down,n,[' '],permanen
2020-06-03 13:50:38.912514,permanent,down,t,[' '],permanent
2020-06-03 13:50:38.942542,permanent,up,n,[' '],permanent
2020-06-03 13:50:38.971569,permanent,up,t,[' '],permanent
2020-06-03 13:50:39.091697,permanent,down, ,[' '],permanent
2020-06-03 13:50:39.772802,sense,down,s,[' '],s
2020-06-03 13:50:39.857879,sense,up,s,[' '],s
2020-06-03 13:50:39.942957,sense,down,e,[' '],se
2020-06-03 13:50:40.042047,sense,up,e,[' '],se
2020-06-03 13:50:40.362338,sense,down,n,[' '],sen
2020-06-03 13:50:40.451419,sense,up,n,[' '],sen
2020-06-03 13:50:40.483448,sense,down,s,[' '],sens
2020-06-03 13:50:40.502466,sense,down,e,[' '],sense
2020-06-03 13:50:40.572529,sense,up,s,[' '],sense
2020-06-03 13:50:40.613566,sense,up,e,[' '],sense
2020-06-03 13:50:40.831765,sense,down, ,[' '],sense
